LOCALIZATION,DAY,MONTH,YEAR,WEEKDAY,SCHOOLDAY,HOLIDAY,HOUR,TEMPERATURE,HUMIDITY,CHECK IN,CHECK OUT
VEGUETA,31,12,2019,1,False,False,23,17,27,2,3
VEGUETA,31,12,2019,1,False,False,22,18,24,1,3
VEGUETA,31,12,2019,1,False,False,21,17,45,10,8
VEGUETA,31,12,2019,1,False,False,20,17,48,11,20
VEGUETA,31,12,2019,1,False,False,19,18,59,14,44
VEGUETA,31,12,2019,1,False,False,18,19,56,34,53
VEGUETA,31,12,2019,1,False,False,17,20,49,1,44
VEGUETA,31,12,2019,1,False,False,16,20,53,7,65
VEGUETA,31,12,2019,1,False,False,15,21,46,42,70
VEGUETA,31,12,2019,1,False,False,14,21,53,85,82
VEGUETA,31,12,2019,1,False,False,13,20,64,125,127
VEGUETA,31,12,2019,1,False,False,12,20,68,125,128
VEGUETA,31,12,2019,1,False,False,11,20,73,146,130
VEGUETA,31,12,2019,1,False,False,10,19,73,167,132
VEGUETA,31,12,2019,1,False,False,9,17,82,146,75
VEGUETA,31,12,2019,1,False,False,8,15,88,81,45
VEGUETA,31,12,2019,1,False,False,7,16,82,36,16
VEGUETA,31,12,2019,1,False,False,6,16,88,21,2
VEGUETA,31,12,2019,1,False,False,5,17,82,8,0
VEGUETA,31,12,2019,1,False,False,4,16,82,6,0
VEGUETA,31,12,2019,1,False,False,3,18,68,0,1
VEGUETA,31,12,2019,1,False,False,2,18,42,0,2
VEGUETA,31,12,2019,1,False,False,1,17,32,1,2
VEGUETA,31,12,2019,1,False,False,0,18,56,1,12
VEGUETA,30,12,2019,0,False,False,23,19,64,1,24
VEGUETA,30,12,2019,0,False,False,22,19,64,4,17
VEGUETA,30,12,2019,0,False,False,21,19,32,16,51
VEGUETA,30,12,2019,0,False,False,20,19,26,35,78
VEGUETA,30,12,2019,0,False,False,19,20,35,71,85
VEGUETA,30,12,2019,0,False,False,18,21,49,86,92
VEGUETA,30,12,2019,0,False,False,17,22,41,85,71
VEGUETA,30,12,2019,0,False,False,16,23,36,74,65
VEGUETA,30,12,2019,0,False,False,15,23,33,46,61
VEGUETA,30,12,2019,0,False,False,14,24,34,61,96
VEGUETA,30,12,2019,0,False,False,13,23,36,100,123
VEGUETA,30,12,2019,0,False,False,12,22,43,103,104
VEGUETA,30,12,2019,0,False,False,11,23,41,103,98
VEGUETA,30,12,2019,0,False,False,10,22,43,120,121
VEGUETA,30,12,2019,0,False,False,9,20,49,171,80
VEGUETA,30,12,2019,0,False,False,8,18,56,100,32
VEGUETA,30,12,2019,0,False,False,7,17,48,37,15
VEGUETA,30,12,2019,0,False,False,6,17,45,13,2
VEGUETA,30,12,2019,0,False,False,5,18,39,7,1
VEGUETA,30,12,2019,0,False,False,4,19,40,5,0
VEGUETA,30,12,2019,0,False,False,3,19,32,1,0
VEGUETA,30,12,2019,0,False,False,2,20,28,0,0
VEGUETA,30,12,2019,0,False,False,1,21,21,0,0
VEGUETA,30,12,2019,0,False,False,0,21,23,0,4
VEGUETA,29,12,2019,6,True,False,23,20,26,2,8
VEGUETA,29,12,2019,6,True,False,22,19,26,1,18
VEGUETA,29,12,2019,6,True,False,21,19,37,8,42
VEGUETA,29,12,2019,6,True,False,20,19,64,34,59
VEGUETA,29,12,2019,6,True,False,19,19,64,45,44
VEGUETA,29,12,2019,6,True,False,18,20,64,56,40
VEGUETA,29,12,2019,6,True,False,17,21,60,34,36
VEGUETA,29,12,2019,6,True,False,16,21,56,38,70
VEGUETA,29,12,2019,6,True,False,15,21,56,22,39
VEGUETA,29,12,2019,6,True,False,14,22,57,39,85
VEGUETA,29,12,2019,6,True,False,13,22,53,80,93
VEGUETA,29,12,2019,6,True,False,12,22,46,98,58
VEGUETA,29,12,2019,6,True,False,11,22,50,109,25
VEGUETA,29,12,2019,6,True,False,10,22,50,60,21
VEGUETA,29,12,2019,6,True,False,9,19,46,21,5
VEGUETA,29,12,2019,6,True,False,8,17,52,2,1
VEGUETA,29,12,2019,6,True,False,7,18,52,2,3
VEGUETA,29,12,2019,6,True,False,6,17,48,2,1
VEGUETA,29,12,2019,6,True,False,5,18,45,1,2
VEGUETA,29,12,2019,6,True,False,4,19,43,0,0
VEGUETA,29,12,2019,6,True,False,3,20,30,0,3
VEGUETA,29,12,2019,6,True,False,2,21,23,0,15
VEGUETA,29,12,2019,6,True,False,1,20,24,0,20
VEGUETA,29,12,2019,6,True,False,0,20,24,2,37
VEGUETA,28,12,2019,5,True,False,23,20,24,11,51
VEGUETA,28,12,2019,5,True,False,22,20,24,25,64
VEGUETA,28,12,2019,5,True,False,21,20,26,38,78
VEGUETA,28,12,2019,5,True,False,20,20,43,66,67
VEGUETA,28,12,2019,5,True,False,19,20,60,101,81
VEGUETA,28,12,2019,5,True,False,18,20,64,94,62
VEGUETA,28,12,2019,5,True,False,17,21,56,66,59
VEGUETA,28,12,2019,5,True,False,16,22,53,83,45
VEGUETA,28,12,2019,5,True,False,15,22,53,30,60
VEGUETA,28,12,2019,5,True,False,14,23,44,47,84
VEGUETA,28,12,2019,5,True,False,13,23,44,91,116
VEGUETA,28,12,2019,5,True,False,12,23,44,108,112
VEGUETA,28,12,2019,5,True,False,11,23,44,134,115
VEGUETA,28,12,2019,5,True,False,10,22,46,161,98
VEGUETA,28,12,2019,5,True,False,9,21,46,102,41
VEGUETA,28,12,2019,5,True,False,8,18,45,40,31
VEGUETA,28,12,2019,5,True,False,7,20,43,35,13
VEGUETA,28,12,2019,5,True,False,6,19,32,16,1
VEGUETA,28,12,2019,5,True,False,5,21,28,6,1
VEGUETA,28,12,2019,5,True,False,4,18,37,6,1
VEGUETA,28,12,2019,5,True,False,3,20,28,0,2
VEGUETA,28,12,2019,5,True,False,2,21,25,0,10
