web-scraper-order,web-scraper-start-url,pagination,Hora,Tem,Hum,fecha
"1679676762-2510","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","00:00","20°","83%","Domingo 1 Diciembre 2019"
"1679676762-2511","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","null","null","null","Domingo 1 Diciembre 2019"
"1679676762-2512","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","00:30","20°","83%","Domingo 1 Diciembre 2019"
"1679676762-2513","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","01:00","20°","83%","Domingo 1 Diciembre 2019"
"1679676762-2514","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","01:30","20°","83%","Domingo 1 Diciembre 2019"
"1679676762-2515","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","02:00","20°","78%","Domingo 1 Diciembre 2019"
"1679676762-2516","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","02:30","20°","78%","Domingo 1 Diciembre 2019"
"1679676762-2517","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","03:00","20°","78%","Domingo 1 Diciembre 2019"
"1679676762-2518","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","03:30","19°","83%","Domingo 1 Diciembre 2019"
"1679676762-2519","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","04:00","19°","83%","Domingo 1 Diciembre 2019"
"1679676762-2520","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","04:30","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2521","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","05:00","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2522","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","05:30","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2523","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","06:00","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2524","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","06:30","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2525","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","07:00","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2526","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","07:30","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2527","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","08:00","19°","78%","Domingo 1 Diciembre 2019"
"1679676762-2528","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","08:30","20°","73%","Domingo 1 Diciembre 2019"
"1679676762-2529","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","09:00","20°","73%","Domingo 1 Diciembre 2019"
"1679676762-2530","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","09:30","21°","69%","Domingo 1 Diciembre 2019"
"1679676762-2531","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","10:00","21°","69%","Domingo 1 Diciembre 2019"
"1679676762-2532","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","10:30","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2533","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","11:00","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2534","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","11:30","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2535","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","12:00","23°","61%","Domingo 1 Diciembre 2019"
"1679676762-2536","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","12:30","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2537","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","13:00","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2538","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","13:30","22°","64%","Domingo 1 Diciembre 2019"
"1679676762-2539","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","","14:00","23°","65%","Domingo 1 Diciembre 2019"
